rank,zip,population,income,startups,national_rank,ca,unit,station,line,income_index,startups_index,income_prop,startups_prop
22,10019,36012,55869,8,3901,R021,N502,42 ST-BRYANT PK,BDFM7,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R021,N504,42 ST-BRYANT PK,BDFM7,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R032,A021,42 ST-TIMES SQ,1237ACENQRS,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R032,R145,42 ST-TIMES SQ,1237ACENQRS,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R032,R143,42 ST-TIMES SQ,ACENQRS1237,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R032,R146,42 ST-TIMES SQ,1237ACENQRS,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R033,R151,42 ST-TIMES SQ,1237ACENQRS,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R033,R148,42 ST-TIMES SQ,1237ACENQRS,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R033,R150,42 ST-TIMES SQ,1237ACENQRS,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R033,R153,42 ST-TIMES SQ,1237ACENQRS,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R033,R147,42 ST-TIMES SQ,1237ACENQRS,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R081,A015,49 ST-7 AVE,NQR,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R081,A013,49 ST-7 AVE,NQR,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R081,A014,49 ST-7 AVE,NQR,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R081,A016,49 ST-7 AVE,NQR,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R116,R154,50 ST,1,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R116,R155,50 ST,1,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R188,N057,50 ST,CE,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R188,N056,50 ST,CE,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R302,N600,57 ST,F,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R080,A010,57 ST-7 AVE,NQR,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R080,A011,57 ST-7 AVE,NQR,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R113,N301,7 AVE-53 ST,BDE,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R113,N300,7 AVE-53 ST,BDE,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R541,PTH17,THIRTY THIRD ST,1,1.11,0.72,0.03,0.02
23,10044,9520,49976,0,5953,R259,N602,ROOSEVELT IS,F,0.99,0.0,0.03,0.0
24,10025,97086,49733,1,6044,R191,R170,103 ST,1,0.99,0.09,0.03,0.0
