rank,zip,population,income,startups,national_rank,unit,ca,station,line,income_index,startups_index,income_prop,startups_prop,total entries
19,10011,46669,61986,36,2569,R138,N083,W 4 ST-WASH SQ,ABCDEFM,1.23,3.24,0.03,0.09,2793637
20,10003,53673,60891,55,2796,R170,A035,14 ST-UNION SQ,LNQR456,1.21,4.95,0.03,0.13,1024321
20,10003,53673,60891,55,2796,R170,A033,14 ST-UNION SQ,456LNQR,1.21,4.95,0.03,0.13,2109724
20,10003,53673,60891,55,2796,R170,A034,14 ST-UNION SQ,LNQR456,1.21,4.95,0.03,0.13,2478682
20,10003,53673,60891,55,2796,R170,A037,14 ST-UNION SQ,LNRQ456,1.21,4.95,0.03,0.13,1864357
20,10003,53673,60891,55,2796,R170,R221,14 ST-UNION SQ,LNQR456,1.21,4.95,0.03,0.13,3607649
20,10003,53673,60891,55,2796,R330,H005,3 AVE,L,1.21,4.95,0.03,0.13,268014
20,10003,53673,60891,55,2796,R330,H006,3 AVE,L,1.21,4.95,0.03,0.13,466595
20,10003,53673,60891,55,2796,R085,A038,8 ST-B'WAY NYU,NR,1.21,4.95,0.03,0.13,1248984
20,10003,53673,60891,55,2796,R085,A039,8 ST-B'WAY NYU,NR,1.21,4.95,0.03,0.13,510299
20,10003,53673,60891,55,2796,R160,R219,ASTOR PLACE,6,1.21,4.95,0.03,0.13,1216706
20,10003,53673,60891,55,2796,R160,R220,ASTOR PLACE,6,1.21,4.95,0.03,0.13,397779
20,10003,53673,60891,55,2796,R041,R201,BOWLING GREEN,45,1.21,4.95,0.03,0.13,936362
20,10003,53673,60891,55,2796,R041,R200A,BOWLING GREEN,45,1.21,4.95,0.03,0.13,1726700
20,10003,53673,60891,55,2796,R042,R202,BOWLING GREEN,45,1.21,4.95,0.03,0.13,612440
20,10003,53673,60891,55,2796,R461,N519,BROADWAY/LAFAY,BDFQ6,1.21,4.95,0.03,0.13,1486116
20,10003,53673,60891,55,2796,R461,N519A,BROADWAY/LAFAY,BDFQ6,1.21,4.95,0.03,0.13,938630
20,10003,53673,60891,55,2796,R086,A041,PRINCE ST-B'WAY,NR,1.21,4.95,0.03,0.13,1226077
20,10003,53673,60891,55,2796,R086,A042,PRINCE ST-B'WAY,NR,1.21,4.95,0.03,0.13,496956
21,10012,26000,58313,34,3310,R194,R217A,BLEECKER ST,6DF,1.16,3.06,0.03,0.08,1511613
21,10012,26000,58313,34,3310,R311,A064,BOWERY,JZ,1.16,3.06,0.03,0.08,373312
21,10012,26000,58313,34,3310,R282,N086,SPRING ST,CE,1.16,3.06,0.03,0.08,895598
21,10012,26000,58313,34,3310,R282,N087,SPRING ST,CE,1.16,3.06,0.03,0.08,321667
